Publication_Number,Title,Abstract,Inventors,Publication_Date,PDF_Link,resource
KR102120828B1,Apparatus for monitoring health based on virtual reality using Artificial Intelligence and method thereof,"The present invention relates to a health monitoring apparatus based on virtual reality using artificial intelligence, and to a method thereof. The health monitoring apparatus of the present invention recognizes the user′s motion through a sensor unit, provides the recognized user′s motion through virtual reality, and analyzes the recognized user′s motion through artificial intelligence to provide a feedback according to an analysis result, thereby being possible to perform a fitness lesson at a time and place desired by a user, increasing user satisfaction dye to a direct feedback and field lessons in a virtual reality space, and increasing immersion in exercise.",,2020-06-09,https://patentimages.storage.googleapis.com/20/77/9a/5960bdcb113ff6/KR102120828B1.pdf,google patents
US20230359910A1,Artificial intelligence and/or virtual reality for activity optimization/personalization,Optimizing and/or personalizing activities to a user through artificial intelligence and/or virtual reality.,Justin E. Beyers,2023-11-09,https://patentimages.storage.googleapis.com/f4/bd/70/ecc49c4cca1ccb/US20230359910A1.pdf,google patents
US20230260048A1,Implementing Machine Learning For Life And Health Insurance Claims Handling,"Techniques for implementing machine learning to improve claim handling are disclosed. In some scenarios, the machine-learning, analytics model may be trained in accordance with data that is relevant to insurance products, such as life and health insurance. A set of labeled historical claims each corresponding to a settlement amount may be analyzed to train an artificial neural network, A claim may be received from a user mobile device, and may be analyzed using the trained artificial neural network to predict a claim settlement, which may be used to generate a settlement offer. The settlement offer may be transmitted to the user's mobile device, and if a manifestation of acceptance is received from the user, then the claim may be automatically paid.",Meghan Sims Goldfarb,2023-08-17,https://patentimages.storage.googleapis.com/32/63/91/807631712d10f9/US20230260048A1.pdf,google patents
US11839444B2,Ceiling AI health monitoring apparatus and remote medical-diagnosis method using the same,"A ceiling artificial intelligence (AI) health monitoring system, includes a monitoring device provided on a ceiling of a space to acquire health information from a patient, and a medical management device configured to apply the health information of the patient acquired to an artificial intelligence-based learning model to determine health condition information of the patient and provide the determination result to a doctor monitor. The medical management device is configured to provide remote medical diagnosis information from the doctor monitor to a user terminal.",,2022-02-17,https://patentimages.storage.googleapis.com/87/5b/e7/45966cd0f4b9d2/US11839444.pdf,google patents
US20210118559A1,Artificial intelligence assisted precision medicine enhancements to standardized laboratory diagnostic testing,"A system and method, the method comprising receiving a laboratory diagnostic testing result associated with a specimen of a subject, the steps of receiving a clinomic profile of the subject, identifying a cohort of similar subjects based at least in part on the clinomic profile of the subject, providing the diagnostic testing results, clinomic profile, and the cohort of similar subjects to a smart output module to generate a personalized, precision medicine based laboratory diagnostic testing result as a smart output and displaying the smart output to a user.",,2021-04-22,https://patentimages.storage.googleapis.com/bf/47/8e/28761a09e49701/US20210118559A1.pdf,google patents
US20200302296A1,Systems and method for optimizing educational outcomes using artificial intelligence,"The present invention is directed, in one particular implementation, to a cloud computing-based categorization system that comprises at least one electronic database having one or more performance assessment data associated with a plurality of entities matriculated at one or more educational institutions. The system further includes a processor, communicatively coupled to the at least one database, and configured to execute an electronic process that analyzes and converts said performance assessment data. Through one or more modules, the processor is configured to select performance assessment data corresponding to at least one structured assessment data value; and at least one unstructured assessment data set for an individual and evaluate the structured and un-structed data of the individual using an assessment model configured to classify the entity into one of a plurality of assessment categories. The processor is further configured by one or more modules to generate a graphical representation, for display and output to one or more remote users, of the likelihood that the individual is assigned to one of the plurality of assessment categories.",,2020-09-24,https://patentimages.storage.googleapis.com/e9/3d/95/6b603c6bd72e5d/US20200302296A1.pdf,google patents
US20210210207A1,Simulation of health states and need for future medical services,"Systems and methods are provided for simulating a patient health state by determining one or more relationships within patient data, creating enriched data elements based on the determined relationships, and using a machine learning module to simulate a future health state of the patient and predict a future medical service need.",Charles J. Clarke,2021-07-08,https://patentimages.storage.googleapis.com/ee/ad/8c/503c2a26b6acf7/US20210210207A1.pdf,google patents
US20210202103A1,Modeling and simulation of current and future health states,"Systems and methods are provided for simulating a patient health state by determining one or more relationships between patient data and historical data, creating enriched data elements based on the determined relationships, and using a machine learning module to compute a current health state for a patient and to simulate a future health state of the patient.",Charles J. Clarke,2021-07-01,https://patentimages.storage.googleapis.com/dd/3d/f6/b5dd3855640aa1/US20210202103A1.pdf,google patents
CN110522983B,"Brain stimulation system, method, device and storage medium based on artificial intelligence","The embodiment of the invention discloses an artificial intelligence-based brain stimulation system, an artificial intelligence-based brain stimulation method, an artificial intelligence-based brain stimulation device and a storage medium. The system comprises: a plurality of brain stimulation terminals and a cloud platform; the cloud platform is used for generating multidimensional psychological big data by learning physiological data and psychological state evaluation parameters from a plurality of brain stimulation terminals and combining a preset diagnosis and treatment model of various diseases by adopting an artificial intelligence technology; the brain stimulation terminal is used for analyzing the acquired physiological data and psychological state evaluation parameters of the target object by adopting an artificial intelligence technology based on the multidimensional psychological big data, determining the mental state of the target object, obtaining brain stimulation parameters required by the target object according to the mental state, and generating corresponding noninvasive brain stimulation for the target object according to the brain stimulation parameters. The embodiment of the invention is suitable for common people to maintain mental health and regulate bad emotion, and has the effects of early prediction, professional prevention and timely intervention on some serious mental diseases.",,2019-12-03,https://patentimages.storage.googleapis.com/c1/b4/29/a339e160a68612/CN110522983B.pdf,google patents
US20180137247A1,Preventive and predictive health platform,"A preventive and predictive healthcare platform is provided. This preventive and predictive healthcare platform includes a computer server connected to an electronic communication network. The server has a democratized data store that is owned by the platform user and acts as the single repository of all health information for the platform user (vital signs, medication, wellness profiles, etc.). This data store may be enabled on mobile devices such as smart phones and tablet computers. The server is configured to send and receive healthcare data to healthcare data providers, to process the healthcare data, and to transmit at least some of the healthcare data to one or more users. The preventive and predictive healthcare platform also has an artificial intelligence engine that includes a machine-based learning algorithm which provides a predictive and preventative care model for a platform user.",Sanjay Mohan,2018-05-17,https://patentimages.storage.googleapis.com/5f/e8/bb/42510831127628/US20180137247A1.pdf,google patents
US10559386B1,Methods and systems for an artificial intelligence support network for vibrant constituional guidance,"A system for an artificial intelligence support network for vibrant constitutional guidance includes a diagnostic engine operating on at least a server and configured to receive at least a biological extraction from a user and generate a diagnostic output based on the at least a biological extraction. The system includes at least an advisor module configured to receive at least a request for an advisory input, generate at least an advisory output using the at least a request for an advisory input and at least a diagnostic output, select at least an informed advisor as a function of the at least a request for an advisory input, and transmit the at least an advisor output to the at least a selected informed advisor.",,2020-02-11,https://patentimages.storage.googleapis.com/13/cd/e1/7305a5d61ebd7e/US10559386.pdf,google patents
US10282512B2,Clinical decision-making artificial intelligence object oriented system and method,"The present invention involves a system and method of providing decision support for assisting medical treatment decision-making. A patient agent software module processes information about a particular patient. A doctor agent software module processes information about a health status of a particular patient, beliefs relating to patient treatments, and the actual effects of treatment decisions. By filtering information over time from the patient agent into the doctor agent, a plurality of decision-outcome nodes are created and formed into a patient-specific outcome tree with the plurality of decision-outcome nodes. An optimal treatment is determined by evaluating the plurality of decision-outcome nodes with a cost per unit change function to output the optimal treatment. When additional information is available from at least one of the patient agent and the doctor agent, the filtering, creating, and determining steps are repeated thus allowing for the system to “reason over time”, continuously updating and learning as new information is received.",Kris Hauser,2015-01-15,https://patentimages.storage.googleapis.com/6b/4b/0f/7f5c13ebfd7f12/US10282512.pdf,google patents
US10755816B2,Clinical decision-making artificial intelligence object oriented system and method,"The present invention involves a system and method of providing decision support for assisting medical treatment decision-making. A patient agent software module processes information about a particular patient. A doctor agent software module processes information about a health status of a particular patient, beliefs relating to patient treatments, and the actual effects of treatment decisions. By filtering information over time from the patient agent into the doctor agent, a plurality of decision-outcome nodes are created and formed into a patient-specific outcome tree with the plurality of decision-outcome nodes. An optimal treatment is determined by evaluating the plurality of decision-outcome nodes with a cost per unit change function to output the optimal treatment. When additional information is available from at least one of the patient agent and the doctor agent, the filtering, creating, and determining steps are repeated thus allowing for the system to “reason over time”, continuously updating and learning as new information is received.",Kris Hauser,2019-10-31,https://patentimages.storage.googleapis.com/74/fb/db/d97bc03f81e17a/US10755816.pdf,google patents
US10468142B1,Artificial intelligence-based system and methods for corneal diagnosis,"A method of predicting a disease or condition of a cornea or an anterior segment of an eye includes inputting input data into an AI model, processing the input data, and generating a set of scores and outputting a prediction. The input data may be representative of a cornea or anterior segment of an eye. Processing the input data may include processing the data through the plurality of convolutional layers, the fully connected layer, and the output layer. Each score of the set of scores may be generated by a corresponding node in the output layer. The output prediction may be related to the cornea or anterior segment of the eye represented by the input data processed through the AI model. The prediction may be determined by at least one score of the set of scores.",Amr Saad Mohamed Elsawy,2019-11-05,https://patentimages.storage.googleapis.com/31/a4/42/45e86a4fdf7982/US10468142.pdf,google patents
US20210183498A1,Facilitating artificial intelligence integration into systems using a distributed learning platform,"Techniques are described that facilitate integrating artificial intelligence (AI) informatics in healthcare systems using a distributed learning platform. In one embodiment, a computer-implemented is provided that comprises interfacing, by a system operatively coupled to a processor, with a medical imaging application that provides for viewing medical image data. The method further comprises, facilitating, by the system, generation of structured diagnostic data according to a defined ontology in association with usage of the imaging application to perform a clinical evaluation of the medical image data. The method further comprises providing, by the system, the structured diagnostic data to one or more machine learning systems, wherein based on the providing, the one or more machine learning systems employ the structured diagnostic data as training data to generate or train one or more diagnostic models configured to provide artificial intelligence-based diagnostic evaluations of new medical image data.",Keith Dreyer,2021-06-17,https://patentimages.storage.googleapis.com/78/43/84/be9a650b573e76/US20210183498A1.pdf,google patents
US20220257139A1,Diagnosis tailoring of health and disease,"The present invention relates generally and specifically to computerized devices capable of diagnosis tailoring for an individual, and capable of controlling effectors to deliver therapy or enhance performance also tailored to an individual. The invention integrates sensors which sense signals from measurable body systems together with external machines, to form adaptive digital networks over time of general health and health of specific body functions. The invention has applications in sleep and wakefulness, sleep-disordered breathing, other breathing disturbances, memory and cognition, monitoring and response to obesity or heart failure, monitoring and response to other conditions, and general enhancement of performance.",Ruchir Sehra,2022-08-18,https://patentimages.storage.googleapis.com/21/5e/bb/6b63263438829d/US20220257139A1.pdf,google patents
US11433276B2,Method and system for using artificial intelligence to independently adjust resistance of pedals based on leg strength,"A method is disclosed for using an artificial intelligence engine to modify resistance of pedals of an exercise device. The method includes generating, by the artificial intelligence engine, a machine learning model trained to receive measurements as input, and outputting, based on the measurements, a control instruction that causes the exercise device to modify, independently from each other, the resistance of the pedals. While a user performs an exercise using the exercise device, the method includes receiving the measurements from sensors associated with the pedals. The method includes determining, based on the measurements, a quantifiable or qualitative modification to the resistance provided by a pedal of the pedals. The resistance provided by another pedal of the pedals is not modified. The method includes transmitting the control instruction to the exercise device to cause the resistance provided by the pedal to be modified.",Luis Berga,2022-02-17,https://patentimages.storage.googleapis.com/68/94/5d/38212f20f0d1b4/US11433276.pdf,google patents
US20220262483A1,Systems and Methods for Using Artificial Intelligence to Implement a Cardio Protocol via a Relay-Based System,"A computer-implemented method including receiving, at a computing device, a first treatment plan designed to treat a cardiovascular health issue of a user. The first treatment plan comprises at least two exercise sessions that, based on the cardiovascular health issue, enable the user to perform an exercise at different exertion levels. While the user uses a treatment apparatus to perform the first treatment plan for the user, the computing device receives cardiovascular data from one or more sensors configured to measure the cardiovascular data associated with the user, and transmits the cardiovascular data. Wherein a machine learning model is used to generate a second treatment plan. The second treatment plan modifies at least one exertion level, and the modification is based on a standardized measure comprising perceived exertion, the cardiovascular data, and the cardiovascular health issue of the user. The method includes receiving the second treatment plan.",Jay L. Waddell,2022-08-18,https://patentimages.storage.googleapis.com/20/1c/af/5ecb60928b2415/US20220262483A1.pdf,google patents
US20230222654A1,"Machine learning systems and methods for assessment, healing prediction, and treatment of wounds","Machine learning systems and methods are disclosed for prediction of wound healing, such as for diabetic foot ulcers or other wounds, and for assessment implementations such as segmentation of images into wound regions and non-wound regions. Systems for assessing or predicting wound healing can include a light detection element configured to collect light of at least a first wavelength reflected from a tissue region including a wound, and one or more processors configured to generate an image based on a signal from the light detection element having pixels depicting the tissue region, determine reflectance intensity values for at least a subset of the pixels, determine one or more quantitative features of the subset of the plurality of pixels based on the reflectance intensity values, and generate a predicted or assessed healing parameter associated with the wound over a predetermined time interval.",John Michael DiMaio,2023-07-13,https://patentimages.storage.googleapis.com/f4/b1/92/d25cd8260c4fd6/US20230222654A1.pdf,google patents
US11599998B2,"Machine learning systems and methods for assessment, healing prediction, and treatment of wounds","Machine learning systems and methods are disclosed for prediction of wound healing, such as for diabetic foot ulcers or other wounds, and for assessment implementations such as segmentation of images into wound regions and non-wound regions. Systems for assessing or predicting wound healing can include a light detection element configured to collect light of at least a first wavelength reflected from a tissue region including a wound, and one or more processors configured to generate an image based on a signal from the light detection element having pixels depicting the tissue region, determine reflectance intensity values for at least a subset of the pixels, determine one or more quantitative features of the subset of the plurality of pixels based on the reflectance intensity values, and generate a predicted or assessed healing parameter associated with the wound over a predetermined time interval.",John Michael DiMaio,2021-07-01,https://patentimages.storage.googleapis.com/40/da/c4/f0d5990a021262/US11599998.pdf,google patents
US20220230729A1,Method and system for telemedicine resource deployment to optimize cohort-based patient health outcomes in resource-constrained environments,"A method includes receiving a set of treatment plans. Each treatment plan comprising the set of treatment plans may be associated with a user capable of using a treatment device to perform the associated treatment plan. The method also includes receiving healthcare professional profile information. The method also includes identifying treatment device information for each treatment device capable of being used by a cohort of users associated with respective treatment plans. The method also includes using an artificial intelligence engine, wherein the artificial intelligence engine uses at least one machine learning model configured to generate resource deployment predictions, to generate at least one resource deployment prediction. The at least one machine learning model may generate the at least one resource deployment prediction based on at least some treatment plans comprising the set of treatment plans, at least some of the healthcare professional profile information, and at least some of the treatment device information.",,2022-07-21,https://patentimages.storage.googleapis.com/a0/0e/6a/7ad9e2d31cf80b/US20220230729A1.pdf,google patents
JP2022009339A,Platform and system for digital personalized medical treatment,PROBLEM TO BE SOLVED: To provide a platform and a system for digital personalized medical treatment.,,2022-01-14,https://patentimages.storage.googleapis.com/a4/ae/10/3ffd45f22cda9e/JP2022009339A.pdf,google patents
US20190392931A1,"System, method, and device for personal medical care, intelligent analysis, and diagnosis","A system includes a server having self-learning artificial intelligence that accesses medical information and personal medical data over a communication network. The server performs operations, including retrieving the personal medical data and medical information related to the personal medical data, and converting the retrieved personal medical data to fuzzy personal medical data by using the self-learning artificial intelligence to determine a plurality of fuzzy attributes for the personal medical data. The operations also include analyzing the converted fuzzy personal medical data together with the retrieved medical information, and identifying at least one issue requiring follow-up by the patient or by at least one external authorized entity. The operations further include transmitting the issue, the related analyzed converted fuzzy personal medical data, and the medical information via the communication network to the at least one external authorized entity for follow-up analysis and treatment.",Hamed Sallam,2019-12-26,https://patentimages.storage.googleapis.com/5b/16/0c/b0817b96624274/US20190392931A1.pdf,google patents
US20200303047A1,Methods and systems for a pharmacological tracking and representation of health attributes using digital twin,"A computerized method for healthcare data management generally includes forming, using the healthcare data system computing device, a digital twin of the individual patient based on the health information related to the individual patient, the digital twin of the individual patient being a digital representation of at least one health state of the individual patient; forming, using the healthcare data system computing device, a digital twin of the population of patients based on the health information related to the population of patients, the digital twin of the population of patients being a digital representation of at least one health attribute of the population of patients; and presenting, at the healthcare data system computing device, to a user of the healthcare data system the digital twin of the patient and the digital twin of the population of patients.",Charles J. Clarke,2020-09-24,https://patentimages.storage.googleapis.com/83/b4/37/30ae52d5c31c7f/US20200303047A1.pdf,google patents
US11888602B2,System and method for predictive platforms in identity management artificial intelligence systems using analysis of network identity graphs,"Systems and methods for embodiments of a graph based artificial intelligence systems for identity management are disclosed. Embodiments of the identity management systems disclosed herein may utilize artificial intelligence approaches for determining health indicators for the identity management state of an enterprise. Specifically, in certain embodiments, an artificial intelligence based identity management systems may utilize one or more components to generate signals associated with the identity management state of an enterprise based on a network identity graph and evaluate feature spaces of these input signals from these components based on a global objective function or the like.",Jostine Fei Ho,2023-05-04,https://patentimages.storage.googleapis.com/1e/08/c1/44bd732b9f6715/US11888602.pdf,google patents
US11783652B2,Occupant health monitoring for buildings,"Methods and systems for monitoring occupant health within a building. An illustrative method may include storing one or more illness behavioral models, capturing and storing over time a history of behaviors for each of a plurality of occupants of the building, identifying one or more current behaviors of a particular one of the plurality of occupants, determining whether the current behaviors of the occupant match one or more of the behaviors defined in the one or more illness behavioral models, determining whether the current behaviors of the occupant deviate from behaviors captured and stored in the history of behaviors for the occupant, and issuing an alert directing that the occupant undergo additional health screening when the current behaviors of the occupant match one or more of the behaviors defined in the illness behavioral models or deviate from behaviors captured and stored in the history of behaviors for the occupant.",Mourian Balasubramanian,2021-12-16,https://patentimages.storage.googleapis.com/de/12/94/4040b2fe768ab7/US11783652.pdf,google patents
CN109243605B,Mental disorder diagnosis and treatment system based on artificial intelligence,"The invention provides a mental disorder diagnosis and treatment system based on artificial intelligence, which comprises a patient end system, a therapist end system and an intelligent auxiliary system; the patient end system collects patient information and sends the patient information to the intelligent auxiliary system, and the patient can communicate with a therapist; the intelligent auxiliary system establishes data interaction between a patient end system and a therapist end system, obtains a primary diagnosis result according to patient information and sends related data to the patient end system and the therapist end system; the intelligent auxiliary system identifies communication contents in the communication process between the patient and the therapist, secondarily acquires the information of the patient, processes the data acquired twice to obtain a secondary diagnosis result, obtains a recommended treatment scheme according to related data, and sends the secondary diagnosis result and the recommended treatment scheme to the therapist end system; and the therapist end system displays the patient information and the intelligent operation result to the therapist for the therapist to communicate with the patient and sends the final diagnosis result and the treatment scheme to the patient. The diagnosis and treatment system of the invention can reduce the workload of therapists.",,2019-01-18,https://patentimages.storage.googleapis.com/6b/5b/4c/4e25c1077f9e75/CN109243605B.pdf,google patents
US20220223293A1,A method of evaluating autoimmune disease risk and treatment selection,"Methods enabling prediction, screening, early diagnosis, and recommended intervention or treatment selection of autoimmune conditions using artificial intelligence operating in conjunction with large medical datasets. Logic is applied to historic population data to extract medical features and identify subjects with diagnosed autoimmune conditions, and the pre-diagnosis medical data is used to train a diagnosis classification algorithm. A self-supervised learning mechanism is separately used to generate a feature embedding transformation of the patients medical history into representational feature vectors. These patient feature vectors together with their expected diagnoses are used to train a multi-label classifier model using supervised learning. The embedding transformation and the multi-label classifier are then applied to a current subjects data to generate a patient diagnosis probability vector, predicting the existence of autoimmune conditions. These methods are applied to diagnose gastrointestinal autoimmune disorders using celiac disease as example.",Benjamin Getz,2022-07-14,https://patentimages.storage.googleapis.com/3a/1d/52/7356474c886988/US20220223293A1.pdf,google patents
US20190295440A1,"Systems and methods for food analysis, personalized recommendations and health management","The present disclosure provides methods and systems for providing personalized food and health management recommendations. The method may comprise mapping foods by abstracting information from data relating to foods to develop a food ontology. The method may comprise collecting and aggregating a plurality of data sets related to food, health, or nutritional information of a user. The plurality of data sets may be provided from a plurality of sources in a two or more data formats. The method may comprise converting the plurality of data sets into a standardized format that may be individualized for the user. The method may comprise applying a predictive model to the food ontology and the plurality of data sets of the user in the standardized format to determine effects of food consumption of the user's body.",,2019-09-26,https://patentimages.storage.googleapis.com/e0/65/f5/8180e4a300b0f9/US20190295440A1.pdf,google patents
US11325005B2,"Systems and methods for using machine learning to control an electromechanical device used for prehabilitation, rehabilitation, and/or exercise","Systems, methods, and computer-readable mediums for operating an electromechanical device are disclosed. The system includes, in one example, the electromechanical device, a patient portal, and a computing device. The computing device is configured to receive user data relating to a user, and receive treatment data relating to treatment plans and outcomes. The computing device is also configured to generate a prehabilitation plan by using a machine learning model to process the user data and the treatment data. The computing device is further configured to select, for the electromechanical device, an electromechanical device configuration that enables exercises of the prehabilitation plan to be performed by the user such that performance improves an area of the user's body. The computing device is also configured to enable the electromechanical device to implement the electromechanical device configuration.",Daniel Posnack,2021-05-13,https://patentimages.storage.googleapis.com/51/a1/20/f4ccd6a7271815/US11325005.pdf,google patents
