Source,Title,Inventors,Applicants,Abstract,Patent Image URL
Espace Net,Student mental health prediction method based on artificial intelligence,SHANDONG INSTITUTE OF PETROCHEMICAL TECH,SHANDONG INSTITUTE OF PETROCHEMICAL TECH,"The invention relates to the field of mental health prediction, in particular to a student mental health prediction method based on artificial intelligence, and the method comprises the steps: obtaining a restaurant consumption time sequence and a drug name sequence of each student; obtaining an excellent dietary habit index of the student in combination with the dining regularity index and the dining attendance index of the student; calculating a correlation coefficient between the treatment medicines, and further obtaining a psychological unhealthy correlation degree of the treatment medicines; calculating the psychological imperfection weight of the medicine application in the doctor-seeing medicine set; constructing a psychological unhealthy treatment coefficient of the medicine purchased by the student and a judgment coefficient containing the psychological unhealthy treatment medicine, and calculating the suspected psychological unhealthy medical treatment frequency and the psychological unhealthy medicine use degree of the student so as to obtain a medical treatment index of the student; and completing the prediction of the psychological health state of the student by using a multi-layer perceptron neural network in combination with the excellent dietary habit index and the medical treatment index of each student. Therefore, comprehensive and accurate prediction of student mental health is realized.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117423462A&KC=A&FT=D&ND=3&date=20240119&DB=&locale=fr_EP
Espace Net,Eye fundus image multi-label classification model generation method and system based on knowledge graph,UNIV ANHUI CHINESE MEDICINE,UNIV ANHUI CHINESE MEDICINE,"The invention relates to the technical field of artificial intelligence, and discloses a fundus image multi-label classification model generation method and system based on a knowledge graph, and the method comprises the steps: carrying out the correlation analysis of a fundus image set according to the label information of the knowledge graph, and generating an initial image database according to the correlation analysis result; performing sample balance on the initial graph database to obtain a target graph database; performing feature extraction on the eye fundus image in the target image database to obtain an image feature vector; word embedding vector representation is carried out on the knowledge graph in the target graph database, transfer learning is carried out on embedded label vectors by utilizing a graph convolutional network, and a label classification matrix is obtained; performing multi-label classification according to the image feature vector and the label classification matrix, and determining a prediction classification label; and optimizing the multi-label classification model according to the predicted classification labels and the real labels. According to the method, the correlation between disease tags and the accuracy of an identification result can be improved when the multi-tag classification model carries out fundus image multi-tag identification.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117392470A&KC=A&FT=D&ND=3&date=20240112&DB=&locale=fr_EP
Espace Net,Brain health assessment method based on artificial intelligence model,INST MILITARY MEDICINE ACADEMY MILITARY SCIENCES PLA,INST MILITARY MEDICINE ACADEMY MILITARY SCIENCES PLA,"The invention provides a brain health assessment method based on an artificial intelligence model, and the method comprises the steps: obtaining a magnetic resonance imaging data set of a healthy brain structure; constructing a basic brain age prediction model by using a convolutional network in deep learning, and predicting the basic brain age prediction model by using a magnetic resonance imaging data set to obtain a brain age prediction model; obtaining different types of brain tissue data sets, and training the brain age prediction model by using the brain tissue data sets to obtain a brain age prediction comprehensive model; migrating the brain age prediction comprehensive model to a brain disease classification model through a transfer learning technology; and performing brain disease classification through the brain disease classification model. Through the method provided by the invention, the risk assessment of the degenerative disease is realized.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117393167A&KC=A&FT=D&ND=3&date=20240112&DB=&locale=fr_EP
Espace Net,"ONLINE MEDICINE PURCHASE METHOD AND APPARATUS BASED ON ARTIFICIAL INTELLIGENCE, AND STORAGE MEDIUM",KANG JIAN INFORMATION TECH SHENZHEN CO LTD [CN],KANG JIAN INFORMATION TECH SHENZHEN CO LTD [CN],"An online medicine purchase method and apparatus based on artificial intelligence, and a storage medium and a computer device, which relate to the technical fields of artificial intelligence and digital medical treatment. The method comprises: acquiring pre-purchased medicine information of a medicine-purchase user (101); determining a question to be inquired that corresponds to the pre-purchased medicine information, and filling in a preset inquiry template with said problem, so as to form an inquiry form corresponding to the pre-purchased medicine information (102); displaying the inquiry form, and receiving an inquiry answer which is input by the medicine-purchase user into the inquiry form (103); and according to the inquiry answer, verifying whether the medicine-purchase user meets a purchase condition for a pre-purchased medicine (104). On the basis of the online medicine purchase method and apparatus based on artificial intelligence, and the storage medium and the computer device, the problem of during online medicine purchase, medicine purchase efficiency being low and labor cost being high is solved.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=WO&NR=2024000863A1&KC=A1&FT=D&ND=3&date=20240104&DB=&locale=fr_EP
Espace Net,Method for improving plant resistance by increasing content of phenolic compounds in ardisia crenata leaves,GUIZHOU UNIV OF TRADITIONAL CHINESE MEDICINE,GUIZHOU UNIV OF TRADITIONAL CHINESE MEDICINE,"The invention discloses a method for improving plant resistance by increasing the content of phenolic compounds in ardisia crenata leaves, which comprises the following specific steps: S1, paving a sponge with the thickness of 5 mm at the bottom of a small flowerpot with the diameter of 9 cm, and pouring vermiculite with the diameter of 3 mm to the position 1 cm away from the edge of the flowerpot; s2, putting the small flowerpots filled with vermiculite into square plates of 60 cm * 40 cm * 10 cm, putting 16 small flowerpots into each square plate, pouring a standard Hoagland nutrient solution into the bottom of each square plate, and enabling the vermiculite to absorb the nutrient solution until the vermiculite is wet; s3, transplanting one-year-old ardisia crenata seedlings into small flowerpots for seedling recovery for 7 days; s4, Hoagland nutrient solutions containing 0 mmol/L calcium ions, 200 mmol/L calcium ions and 400 mmol/L calcium ions are poured into the bottoms of the square plates respectively, and three square plates are treated each time; s5, the square plate is placed in an artificial intelligence climate chamber to be cultured, and the culture conditions are that the temperature is 25 DEG C, and the illumination is 1000 Lux; and S6, quickly freezing the ardisia crenata plant leaves treated for 7 days with liquid nitrogen, and storing the ardisia crenata plant leaves in a refrigerator at-80 DEG C.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117337717A&KC=A&FT=D&ND=3&date=20240105&DB=&locale=fr_EP
Espace Net,Eye fundus image data batch normalization method and device and storage medium,BEIJING INST PETROCHEM TECH; CHINA JAPAN FRIENDSHIP HOSPITAL CHINA JAPAN FRIENDSHIP INST OF CLINICAL MEDICINE,BEIJING INST PETROCHEM TECH; CHINA JAPAN FRIENDSHIP HOSPITAL CHINA JAPAN FRIENDSHIP INST OF CLINICAL MEDICINE,"The invention relates to the field of medical image processing and artificial intelligence, in particular to a fundus image data batch normalization method and device and a storage medium. The method comprises the following steps: acquiring a to-be-normalized feature map to construct an original data matrix # imgabs0 #, and calculating an average value matrix # imgabs2 # of the original data matrix # imgabs1 #; the average value matrix # imgabs4 # of the original data matrix # imgabs3 # and the original data matrix # imgabs5 # are utilized to calculate a centralization matrix # imgabs7 # of the original data matrix # imgabs6 #; based on a centralization matrix # imgabs9 # of the original data matrix # imgabs8 #, a covariance matrix # imgabs11 # of the original data matrix # imgabs10 # is calculated; eigenvalue decomposition and orthogonal transformation are carried out on a covariance matrix # imgabs13 # of the original data matrix # imgabs12 #, and an eigenvector # imgabs14 # after batch normalization is obtained; according to the method provided by the invention, an orthogonal transformation thought is introduced on the basis of batch normalization, so that not only can the relationship between the sample features be captured, but also the potential relationship between different sample features can be captured, and the problem of low accuracy of a fundus disease recognition model in the prior art is solved.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117351295A&KC=A&FT=D&ND=3&date=20240105&DB=&locale=fr_EP
Espace Net,SMART SYSTEM FOR AUTOMATIC ANALYSIS OF MICRO RNA DATA MICROARRAY,ARTIFICIAL INTELLIGENCE EXPERT S R L [RO],ARTIFICIAL INTELLIGENCE EXPERT S R L [RO],"The invention relates to a system and an algorithm for analysis of raw micro RNA data obtained by Microarray technology, using a workflow that combines bioinformation and artificial intelligence steps to obtain biomarkers relevant for the investigated problem and high performance predictive models for solving said problems, with applications in husbandry, agriculture, forensics and medicine. According to the invention, the analysis algorithm comprises the following steps: microarray raw miRNA data pre-processing and quality control, step which also includes data normalization, obtaining the microRNA expression profile; miRNA annotation which consists in attaching the name of each miRNA to the IDs in the table with the expression of each molecule, thereby obtaining the input data for an AI expert that automatically applies AI algorithms to perform: exploratory analysis and data cleaning by checking data format, identification of possible missing data and the percentage thereof, possible abnormalities and a summary statistic analysis comprising data distribution, minimal values, maximal values, average values etc, followed by checking the correlations between the present variables, which allows observation of possible variables which are more important than others in the analysis and construction of predictive models; pre-processing of data before training the models; developing the predictive models and optimizing the parameters of modelling algorithms.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=RO&NR=137833A2&KC=A2&FT=D&ND=3&date=20231229&DB=&locale=fr_EP
Espace Net,SYSTEMS AND METHODS FOR ARTIFICIAL INTELLIGENCE-BASED IMAGE ANALYSIS FOR DETECTION AND CHARACTERIZATION OF LESIONS,EXINI DIAGNOSTICS AB [SE],EXINI DIAGNOSTICS AB [SE],"Presented herein are systems and methods that provide for improved detection and characterization of lesions within a subject via automated analysis of nuclear medicine images, such as positron emission tomography (PET) and single photon emission computed tomography (SPECT) images. In particular, in certain embodiments, the approaches described herein leverage artificial intelligence (AI) to detect regions of 3D nuclear medicine images corresponding to hotspots that represent potential cancerous lesions in the subject. The machine learning modules may be used not only to detect presence and locations of such regions within an image, but also to segment the region corresponding to the lesion and/or classify such hotspots based on the likelihood that they are indicative of a true, underlying cancerous lesion. This AI-based lesion detection, segmentation, and classification can provide a basis for further characterization of lesions, overall tumor burden, and estimation of disease severity and risk.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=US&NR=2023420112A1&KC=A1&FT=D&ND=3&date=20231228&DB=&locale=fr_EP
Espace Net,Injection storing and taking method and device based on artificial intelligence,JIANGSU XIYUAN HEALTH TECH CO LTD,JIANGSU XIYUAN HEALTH TECH CO LTD,"The invention discloses an injection storing and taking method and system based on artificial intelligence, and the method comprises the steps: recognizing a collected injection bar code or two-dimensional code through a first recognition unit, obtaining a first recognition result, and transmitting the first recognition result to a central control unit; the central control unit distributes the storage position of the injection in the medicine cabinet according to the first identification result and the storage condition of the medicine cabinet, and drives the transportation unit to store the injection to the corresponding position of the medicine cabinet; when medicine taking is needed, the prescription information is sent to a second recognition unit, and a second recognition result is obtained; the central control unit compares the second identification result with the injection information stored in the database of the medicine cabinet, and drives the transportation unit to take the medicine according to the comparison result; the injection information and the prescription information are identified based on the neural network, the injection is automatically stored and taken according to the identification result and the condition in the cabinet, meanwhile, the storage and taking path is optimized through the RRT * algorithm, and the injection storage and taking efficiency is improved.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117315850A&KC=A&FT=D&ND=3&date=20231229&DB=&locale=fr_EP
Espace Net,Drug delivery method and device for patients in inpatient area and medium,QILU HOSPITAL SHANDONG UNIV,QILU HOSPITAL SHANDONG UNIV,"The invention provides a medicine distribution method and device for patients in an inpatient area and a medium, and belongs to the technical field of artificial intelligence. According to the method, a corresponding specified medicine distribution cabinet is determined based on to-be-distributed medicine information, so that a patient medicine taking identifier corresponding to the specified medicine distribution cabinet is generated; and sending the patient medicine taking identifier to a mobile terminal of the patient corresponding to the to-be-distributed medicine information. When a medicine putting completion instruction is received and a corresponding medicine taking waiting area is reached through a medicine distribution path corresponding to the to-be-distributed medicine information, medicine taking prompt information for a patient corresponding to the to-be-distributed medicine information is generated, and according to a patient medicine taking identifier obtained based on user operation within a preset waiting duration, the medicine taking prompt information of the patient corresponding to the to-be-distributed medicine information is obtained. And generating a corresponding distribution cabinet opening instruction. Under the condition that a medicine taking completion instruction corresponding to the distribution cabinet opening instruction is received, medicine use propaganda and education multimedia information corresponding to the to-be-distributed medicine information is sent to a bedside display device.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117315849A&KC=A&FT=D&ND=3&date=20231229&DB=&locale=fr_EP
Espace Net,Method for effectively identifying benign and malignant breast ultrasonic image lumps,XINJIANG CHANGSEN DATA TECH CO LTD,XINJIANG CHANGSEN DATA TECH CO LTD,"The invention relates to the field of artificial intelligence, and discloses a method for identifying benign and malignant breast tumors by using ultrasonic images, which comprises the following steps of: a, cleaning and standardizing ultrasonic image data, converting DICOM (Digital Imaging and Communications in Medicine) format images into JPEG (Joint Photographic Experts Group) format images, and unifying image sizes; b, performing labeling processing on a tumor area of the breast ultrasonic image data set, performing data enhancement preprocessing operation, and establishing a deep learning database; c, using SloU and GhostNet lightweight convolution to replace a convolution layer and a loss function in an original YOLOv8 network structure; d, training and verifying the model by using the data set in the step b; e, using a deep learning model to identify a tumor area of the breast ultrasonic data set and identifying a tumor focus; f, performing benign and malignant probability prediction on the tumor focus in the step e; and e, visually displaying an output result obtained in the step S5, and completing accurate classification of benign and malignant breast ultrasonic tumors.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117275677A&KC=A&FT=D&ND=3&date=20231222&DB=&locale=fr_EP
Espace Net,Medicine classification accompanying robot based on artificial intelligence and control method,SHANDONG XINYIDAI INFORMATION INDUSTRY TECH RESEARCH INSTITUTE CO LTD,SHANDONG XINYIDAI INFORMATION INDUSTRY TECH RESEARCH INSTITUTE CO LTD,"The invention discloses a medicine classification accompanying robot based on artificial intelligence and a control method, and relates to the technical field of intelligent robots, the medicine classification accompanying robot comprises a chassis, and a robot body, a touch screen, a storage cabinet, a camera, a touch screen, a camera and a robot navigation obstacle avoidance sensing module which are arranged on the chassis. Through the scheduling of a main control algorithm system, classification, distribution, care and reminding of medicines are realized, and the medication service is accurately completed, so that the actual medication effect and accuracy of user groups such as middle-aged and elderly people are improved, and the human input cost is also reduced.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117260767A&KC=A&FT=D&ND=3&date=20231222&DB=&locale=fr_EP
Espace Net,INTELLIGENT AUXILIARY GOUT DIAGNOSIS AND TREATMENT SYSTEM FOR COMBINATION OF TRADITIONAL CHINESE MEDICINE AND WESTERN MEDICINE,UNIV ZHEJIANG CHINESE MEDICAL [CN]; XINTONG RES INSTITUTE OF ARTIFICIAL INTELLIGENCE YUHANG HANGZHOU [CN],UNIV ZHEJIANG CHINESE MEDICAL [CN]; XINTONG RES INSTITUTE OF ARTIFICIAL INTELLIGENCE YUHANG HANGZHOU [CN],"An intelligent auxiliary gout diagnosis and treatment system for combination of traditional Chinese medicine and western medicine includes a knowledge extraction module, a predictive reasoning module, an evaluation feedback module and a data storage module. The knowledge extraction module is configured to construct a gout knowledge graph. The predictive reasoning module is configured to learn a predictive model in combination with historical annotation data to perform reasoning diagnosis, predict a gout course stage of a patient and recommend a treatment plan. The evaluation feedback module is configured to evaluate a diagnosis and treatment effect for strengthening the system and improving an intelligent level of the system. The data storage module is configured to store data of the system.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=US&NR=2023411007A1&KC=A1&FT=D&ND=3&date=20231221&DB=&locale=fr_EP
Espace Net,Behcet disease uveitis detection method based on artificial intelligence and optical coherence tomography angiography,FIRST AFFILIATED HOSPITAL OF CHONGQING MEDICAL UNIV,FIRST AFFILIATED HOSPITAL OF CHONGQING MEDICAL UNIV,"The invention relates to the field of clinical medicine, in particular to a behcet disease uveitis detection method based on artificial intelligence and optical coherence tomography angiography, which does not require a doctor to judge behcet disease by combining a large amount of professional knowledge with lesions of other parts of a patient. The method comprises the following steps: dividing a region of interest on a fundus photo of optical coherence tomography angiography, highlighting an image of fundus retina blood vessels in the fundus photo, and training an artificial intelligence model by utilizing a plurality of quantitative characteristics extracted from the image of the fundus retina blood vessels through an imageomics method; therefore, quantitative and objective diagnosis biomarkers are obtained to predict the occurrence probability of Behcet disease uveitis, the influence of subjective consciousness of doctors on diagnosis results is completely avoided, and the doctors are assisted to greatly improve the diagnosis efficiency and accuracy of Behcet disease.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117243561A&KC=A&FT=D&ND=3&date=20231219&DB=&locale=fr_EP
Espace Net,Traditional Chinese medicine pathogenesis intelligent identification device based on supervised LDA topic model,UNIV HENAN SCIENCE & TECH,UNIV HENAN SCIENCE & TECH,"The invention provides a traditional Chinese medicine pathogenesis intelligent recognition device based on a supervised LDA topic model, and relates to the technical field of artificial intelligence, and the device comprises a basic module, a text data collection module, a text data processing module, a topic model training module, a pathogenesis classification recognition module and an output display module. Wherein an LDA supervised learning training method is applied in the topic model training module to obtain an LDA topic model suitable for traditional Chinese medicine pathogenesis analysis, the LDA topic model is used for solving the problem that domain knowledge cannot be fused by an intelligent syndrome differentiation algorithm, and finally the pathogenesis analysis method and device suitable for the traditional Chinese medicine clinical environment are obtained.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117238426A&KC=A&FT=D&ND=3&date=20231215&DB=&locale=fr_EP
Espace Net,Emergency nursing service robot combined with artificial intelligence,HUANGSHI AIKANG HOSPITAL CO LTD,HUANGSHI AIKANG HOSPITAL CO LTD,"The invention discloses an emergency nursing service robot combined with artificial intelligence in the field of medical auxiliary instruments, the robot comprises a shell, electric rollers and a processor, the processor is electrically connected with a controller and a mobile terminal, and a storage battery, a first positioner, a medicine storage device and an equipment storage device are installed in the shell; a camera and a display screen are fixedly connected outside the shell; when an emergency doctor goes out of an emergency, the doctor can send a signal to the processor through the mobile terminal, the controller is used for controlling the electric rolling wheels to operate, and the robot follows the emergency doctor to go out of the emergency; when a patient needs emergency nursing, a signal can be sent to the processor through the mobile terminal, and the controller controls the robot close to the sickbed to move to the side of the sickbed. Therefore, the robot can provide quick first-aid response in emergency, quickly provide corresponding medicines or equipment for nursing service, and help medical staff to provide basic first-aid and rescue measures in the shortest time.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117226801A&KC=A&FT=D&ND=3&date=20231215&DB=&locale=fr_EP
Espace Net,Multilayer magnetic soft robot and preparation method and control method thereof,SHENZHEN INSTITUTE OF ARTIFICIAL INTELLIGENCE AND ROBOTICS FOR SOC; UNIV SHANGHAI,SHENZHEN INSTITUTE OF ARTIFICIAL INTELLIGENCE AND ROBOTICS FOR SOC; UNIV SHANGHAI,"The invention discloses a multilayer magnetic soft robot as well as a preparation method and a control method thereof. The multi-layer magnetic soft robot is of a three-layer structure and comprises a top layer, a center layer and a bottom layer, each layer comprises a magnetic flexible substrate and a medicine carrying adhesive film, and the three-layer structure achieves self-assembly under the action of magnetic attraction and can be curled to be placed into a conventional medicinal capsule. Each layer of structure of the robot comprises a drug-loaded adhesive film, and drug delivery can be carried out on a plurality of target spots; in addition, due to the existence of the adhesive, tissue adhesion with a target spot can be realized, so that the medicine has the capability of staying on the target spot for a long time, and the possibility is provided for continuous and accurate release of the medicine. The magnetic flexible substrate provides a self-assembly mode for the robot, so that the robot can accurately reach the target position under the action of an external magnetic field. Finally, the multi-layer medicine carrying structure of the robot provides possibility for multi-target treatment of diseases, and the robot is simple to operate, low in cost and really non-invasive.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117205182A&KC=A&FT=D&ND=3&date=20231212&DB=&locale=fr_EP
Espace Net,Intelligent conversation method and device for improving traditional Chinese medicine inquiry efficiency,HAINAN RONGSHUJIA INFORMATION TECH CO LTD,HAINAN RONGSHUJIA INFORMATION TECH CO LTD,"The invention discloses an intelligent conversation method and device for improving the efficiency of traditional Chinese medicine inquiry, belongs to the field of natural language processing and artificial intelligence, and aims to solve the technical problem of how to better understand a conversation record context, highlight conversation records and key information in replies to be pushed and improve the efficiency of traditional Chinese medicine inquiry. Therefore, conversation records with high correlation with the to-be-pushed reply in the conversation records are determined and irrelevant information is filtered, so that the prediction accuracy of the intelligent conversation system is improved. According to the technical scheme, the method comprises the steps that S1, an intelligent conversation data set is obtained, wherein public traditional Chinese medicine inquiry intelligent conversation data are crawled from a network, and the traditional Chinese medicine inquiry intelligent conversation data set is built; s2, constructing an intelligent conversation model: constructing the intelligent conversation model based on a conversation semantic adapter module; and S3, training the intelligent conversation model: training the intelligent conversation model constructed in the step S2 on the intelligent conversation training data set obtained in the step S1.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117216213A&KC=A&FT=D&ND=3&date=20231212&DB=&locale=fr_EP
Espace Net,Improved neural network inference efficiency through fewer parameters,GE PRECISION MEDICINE LLC,GE PRECISION MEDICINE LLC,"Systems/techniques are provided that facilitate improved neural network inference efficiency with smaller parameters. In various embodiments, a system may access a medical image on which an artificial intelligence task will be performed. In various aspects, the system may facilitate an artificial intelligence task by executing a neural network pipeline on a medical image, thereby generating an artificial intelligence task output corresponding to the medical image. In various cases, before any convolution, the neural network pipeline may include a respective jump connection from the medical image to each convolutional layer in the neural network pipeline.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117172284A&KC=A&FT=D&ND=3&date=20231205&DB=&locale=fr_EP
Espace Net,Application of biosensing and UPLC-MS (Ultra Performance Liquid Chromatography-Mass Spectrometry) combined technology in traditional Chinese medicine property and flavor key quality attribute identification,UNIV BEIJING CHINESE MEDICINE,UNIV BEIJING CHINESE MEDICINE,"The invention provides an application of biosensing in combination with UPLC-MS (Ultra Performance Liquid Chromatography-Mass Spectrometry) technology in traditional Chinese medicine property and flavor key quality attribute identification. The method specifically comprises the following steps: (1) constructing a molecular sensory artificial intelligence biosensor by adopting a three-step method and taking taste receptor protein as a research carrier; (2) based on the biosensor, determining the interaction strength of a sample to be detected and the taste receptor protein by adopting an electrochemical workstation; (3) eluting the key quality attributes combined on the taste receptor by adopting a two-step elution method; and (4) enriching the eluent in the step (3), analyzing and identifying chemical components in the eluent based on the UPLC-MS technology, comparing the chemical components with all components of the sample to be detected, and screening key quality attributes of properties and flavors of the sample to be detected. The invention provides the application of biosensing in combination with UPLC-MS (Ultra Performance Liquid Chromatography-Mass Spectrometry) technology in identifying the key quality attributes of the properties and flavors of the traditional Chinese medicines by taking a taste receptor as a perspective, the key quality attributes of the properties and flavors of the astragalus membranaceus pulse-activating decoction and the stomach-invigorating digestion-promoting tablet are identified, and a reference is provided for identifying the key quality attributes of other traditional Chinese medicines.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117147722A&KC=A&FT=D&ND=3&date=20231201&DB=&locale=fr_EP
Espace Net,Traditional Chinese medicine clinical standardized patient inquiry simulation system based on artificial intelligence,NANJING NINGYU INTELLIGENT TECH CO LTD,NANJING NINGYU INTELLIGENT TECH CO LTD,"The invention discloses a traditional Chinese medicine clinical standardized patient inquiry simulation system based on artificial intelligence, and relates to the technical field of artificial intelligence inquiry, and the technical scheme is characterized in that the system comprises a data acquisition module, a data analysis module, an illness state analysis module and a doctor recommendation module; the system has the advantages that by arranging the data acquisition module, the system can collect historical doctor seeing data of a patient, and then follow-up analysis and grading of current case data of the patient are facilitated; by arranging a data analysis module and an illness state analysis module, the system can perform simultaneous analysis on current case data and historical case data of a patient and match the current case data with case data in a preset case level library, so that the case level of the current case of the patient is determined; the patient can conveniently and accurately register and see a doctor, and meanwhile the patient can conveniently know the disease degree of himself/herself.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117153430A&KC=A&FT=D&ND=3&date=20231201&DB=&locale=fr_EP
Espace Net,"MOBILE DELIVERY APPARATUS CAPABLE OF MULTI-ARM SORTING WORK, AND OPTIMAL MANAGEMENT SYSTEM AND METHOD",TAN SICONG [CN],TAN SICONG [CN],"A mobile delivery apparatus capable of multi-arm sorting work, and an optimal management system and method, which apparatus, system and method use artificial intelligence technology and autonomous positioning and navigation technology to implement storage, sorting work, goods shipment and reception, and mobile delivery under autonomous control and remote control. The present invention is applied to medicine dispensing, book borrowing and returning, warehouse logistics sorting, and goods shipment and reception work. A machine main system is connected to a management system, and implements storage, sorting work, and goods shipment and reception under autonomous control and remote control. An optimal path planning and task configuration method for a mobile storage box is used, and the mobile storage box completes a medicine dispensing task and a goods shipment and reception task. The target is to complete all the tasks in the shortest time. Various work of packaging, cutting and sorting, autonomous goods delivery and transfer, and goods shipment and reception are implemented, such that the working efficiency is greatly improved, operation with fewer people and unmanned operation are realized, and the present invention is widely applied to medical treatment, campuses, warehouses, factories, logistics and various commercial scenarios.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=AU&NR=2022259171A1&KC=A1&FT=D&ND=3&date=20231130&DB=&locale=fr_EP
Espace Net,Benzopyridine compound as well as preparation method and application thereof,ZHONGYI HAIDE ARTIFICIAL INTELLIGENCE MEDICINE RES AND DEVELOPMENT CO LTD,ZHONGYI HAIDE ARTIFICIAL INTELLIGENCE MEDICINE RES AND DEVELOPMENT CO LTD,"The invention provides a benzopyridine compound, a pharmaceutical composition, a preparation method and application thereof, and application of the benzopyridine compound in treatment of hepatitis B or tumors. The invention also provides application of the compound shown in the general formula I or the pharmaceutically acceptable salt, solvate, hydrate, crystal form and stereoisomer thereof in preparation of medicines for treating and/or preventing hepatitis B. The invention also provides application of the compound shown in the general formula I or the pharmaceutically acceptable salt, solvate, hydrate, crystal form and stereoisomer thereof in preparation of medicines for treating and/or preventing hepatitis B. The invention also provides a pharmaceutical composition for treating and/or hepatitis B or tumors, which comprises the compound of the general formula I or pharmaceutically acceptable salts, solvates, hydrates, crystal forms and stereoisomers thereof, and optionally one or more additional therapeutic agents and/or prophylactic agents, and optionally one or more pharmaceutically acceptable carriers. # imgabs0 #",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117126161A&KC=A&FT=D&ND=3&date=20231128&DB=&locale=fr_EP
Espace Net,Polysubstituted heterocyclic compound as well as preparation method and application thereof,ZHONGYI HAIDE ARTIFICIAL INTELLIGENCE MEDICINE RES AND DEVELOPMENT CO LTD,ZHONGYI HAIDE ARTIFICIAL INTELLIGENCE MEDICINE RES AND DEVELOPMENT CO LTD,"The invention provides a polysubstituted heterocyclic compound, a pharmaceutical composition, a preparation method and application thereof, and application of the polysubstituted heterocyclic compound in treatment and/or prevention of hepatitis B or tumors. The invention also provides application of the compound shown in the general formula I or the pharmaceutically acceptable salt, solvate, hydrate, crystal form and stereoisomer thereof in preparation of medicines for treating and/or preventing hepatitis B. The invention also provides application of the compound shown in the general formula I or the pharmaceutically acceptable salt, solvate, hydrate, crystal form and stereoisomer thereof in preparation of medicines for treating and/or preventing hepatitis B. The invention also provides a pharmaceutical composition for treating and/or preventing hepatitis B or tumors, which comprises the compound as shown in the general formula I or pharmaceutically acceptable salts, solvates, hydrates, crystal forms and stereoisomers thereof, and optionally one or more additional therapeutic agents and/or prophylactic agents, and optionally one or more pharmaceutically acceptable carriers. # imgabs0 #",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117126162A&KC=A&FT=D&ND=3&date=20231128&DB=&locale=fr_EP
Espace Net,Mask language modeling and yeast surface display combined polypeptide design method and sequence,SHENZHEN BAY LABORATORY PINGSHAN BIOLOGY MEDICINE R&D AND TRANSLATION CENTER,SHENZHEN BAY LABORATORY PINGSHAN BIOLOGY MEDICINE R&D AND TRANSLATION CENTER,"The invention discloses a mask language modeling and yeast surface display combined polypeptide design method and sequence, and the method comprises the following steps: cleaning a protein sequence database, selecting a protein sequence meeting requirements as a training set of a language model, and carrying out mask language modeling on the protein sequence contained in the training set; a set downstream task is designed on the basis of the pre-training model, and downstream task fine adjustment is carried out; carrying out random residue covering on a selected reference sequence, and predicting covered residues; performing virtual screening on polypeptide candidates generated by the model; and determining the protein expression level and affinity of the screened polypeptide through a yeast display technology. According to the method, a natural language processing technology is migrated to the field of polypeptide generation, a large number of polypeptide candidates possibly having specific properties or functions can be generated, artificial intelligence generation, virtual screening and wet experiment characterization are combined, and a relatively complete'dry-wet combination 'design process is built.",https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=CN&NR=117133358A&KC=A&FT=D&ND=3&date=20231128&DB=&locale=fr_EP
