Title,Application Number,Applicant,Inventor,Abstract,Number element
AI TRADITIONAL CHINESE MEDICINE AUXILIARY DIAGNOSIS AND PHARMACY MANAGEMENT SYSTEM BASED ON BIG DATA CLOUD COMPUTING,G16H 50/20,"SHENLIAN HEALTH SERVICE (SHENZHEN) CO., LTD.",SONG JINBING,"The invention discloses an AI traditional Chinese medicine auxiliary diagnosis and pharmacy management system based on big data cloud computing, and the system comprises a user UI module, a consultation diagnosis module and a data processing module; the user UI module comprises a department query unit, an appointment registration unit and a registration payment unit; the department inquiry unit can provide a proper inquiry department solution according to disease feature appeals given by patients, the appointment registration module can provide appointment registration for the patients, the registration payment unit can give specific required fees according to registration information of the patients, and the consultation module comprises an AI auxiliary diagnosis unit, a pharmacy management unit and a data storage unit. The AI auxiliary diagnosis unit can carry out auxiliary diagnosis according to disease characteristics given by a patient, the pharmacy management unit can manage medicine information in a pharmacy and carry out medicine retrieval according to diagnosis information given by the AI auxiliary diagnosis unit, the data storage unit can store inquiry information and diagnosis information of the patient, and the data processing module comprises settlement payment and information issuing.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN344452687&_cid=P12-LTRE0S-24981-2
PHYSICAL HEALTH MANAGEMENT SYSTEM BASED ON CLOUD COMPUTING,G16H 80/00,HENAN WIND REPAIRING NATIONAL HAND HEALTH PRESERVING SERVICE LIMITED COMPANY,ZHANG BIAO,"The invention provides a physical health management system based on cloud computing, and relates to the technical field of physical health management. The physical health management system based on cloud computing comprises a data center processing module, the data center processing module is connected with an AI processing unit, a data classification module, a health management module, a medicine management module and an AI characteristic service module, and the data classification module is connected with a data acquisition module and a pathology analysis module. And a crowd management program, a diet management program, an exercise scheme forming program and a risk assessment program are built in the health management module. Through a health management function with pathological data classification and correspondence, physiological diseases and psychological diseases can be classified, then targeted crowd management, diet management, exercise scheme formation and risk assessment can be carried out on the physiological diseases and psychological diseases, and an actual health management scheme is high in pertinence and small in limitation.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN344452687&_cid=P12-LTRE0S-24981-2
PORTABLE INTELLIGENT AI SERVICE AND CHRONIC DISEASE MANAGEMENT EARLY WARNING MEDICINE BOX,A61J 1/00,"HEFEI ANYAOHUI HEALTH INDUSTRY CO., LTD.",QIN JIAN,"The utility model discloses a portable intelligent AI service and chronic disease management early-warning medicine box which comprises a medicine box body, a reminding control device is arranged in the middle of the medicine box body, a loudspeaker is arranged at the top of the medicine box body, a daily medicine bin is arranged on one side of the medicine box body, an emergency medicine bin is arranged on one side of the daily medicine bin, and a medicine box cover is arranged on the other side of the medicine box body. The top end of the reminding control device is provided with an MIC microphone, one side of the medicine box body is provided with a USB interface, one side of the USB interface is provided with an emergency call button inside the protective cover, one side of the protective cover is provided with a reset key, and the intelligent voice AI service function is achieved, so that the inconvenience of complicated setting operation of old people can be avoided; the voice short message function can directly send a voice message to a mobile phone client, so that the elderly can communicate with family members at any time, and when the elderly falls down or is inconvenient to move, the elderly can directly make a call for first aid by dialing the medicine box or dial a contact person to call for help.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN344452687&_cid=P12-LTRE0S-24981-2
"AI, IOT, MACHINE LEARNING AND ROBOTICS TECHNOLOGY IMPACT ON THE FUTURE OF HEALTHCARE",A61B /,Roja Boina,Roja Boina,"AI, IOT, MACHINE LEARNING AND ROBOTICS TECHNOLOGY IMPACT ON THE FUTURE OF HEALTHCAREABSTRACTInternet of things (IoT), Big Data, and artificial intelligence (AI) are related research fields that have a relevant impact factor on the design and development of enhanced personalized healthcare systems. This paper discussed the review of AI for IoT and medical systems, which include the usage and practice of AI methodology in different fields of healthcare. The literature review shows that four main areas use AI methodology in medicine, such as heart disease diagnosis, predictive methods, robotic surgery, and personalized treatment. The results confirm that k-nearest neighbors, support vector machine, support vector regression, Naive Bayes, linear regression, regression tree, classification tree, and random forest are the leading AI methods. These methods are mainly used for patient’s data analysis to improve health conditions. Robotic surgery systems such as Transoral Robotic Surgery and Automated Endoscopic System for Optimal Positioning lead to several advantages as these methods provide less aggressive treatments and provide better results in terms of blood loss and faster recovery. Furthermore, Internet of medical things addresses numerous health conditions such a vital biophysical parameters supervision, diabetes, and medical decision-making support methods",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN344452687&_cid=P12-LTRE0S-24981-2
"ROBOT FOR AI INTELLIGENT BLOOD PRESSURE DETECTION, DATA PROCESSING AND HEALTH SUGGESTION",A61B 5/01,"SHENZHEN BAISUIHUAN INTELLIGENT TECHNOLOGY CO., LTD.",JIANG SHAN,"The invention discloses a robot for AI intelligent blood pressure detection, data processing and health suggestion in the field of health examination. The robot comprises an intelligent cloud server, a cloud storage server, a data acquisition module, an intelligent terminal placed in a detection home and a multifunctional blood pressure detection robot used for detecting blood pressure. A sliding groove is formed in one side wall of the multifunctional blood pressure detection robot. A lead screw can be driven to rotate through a lifting control motor, then a sliding block is driven to do lifting motion along a guide column, so that the height of a blood pressure monitoring module can be adjusted so as to match people with different heights for blood pressure detection, and the comfort of detection personnel during blood pressure detection is improved. Health condition detection suggestions of detection personnel can be transmitted through an intelligent loudspeaker box. A reminding plan is made and placed in an alarm clock of the intelligent loudspeaker box. Therefore, the detection personnel can be reminded to take medicine and move according to the health suggestions at fixed points and fixed time, and the treatment effect is improved.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN344452687&_cid=P12-LTRE0S-24981-2
AI THREE-UTERUS ENERGY RECOVERY ALL-IN-ONE MACHINE,A61G 10/00,WEIFANG REACTIVATED RENAL MEDICINE RESEARCH INSTITUTE,GUO BAOYE,"The utility model discloses an AI three-uterus energy recovery all-in-one machine which is characterized in that a seat and a grain storage bin are arranged in a shell, and an ultrasonic atomizer, a cataplasm permeating machine, a water circulator, a perfusion machine and a bin cleaning machine are arranged outside the shell in a centralized manner. A seat body of the seat is of a hollow structure, a seat backrest is of an internal hollow structure and is close to one side of a human body, and a cataplasm sprayer is arranged on the seat backrest. The ultrasonic atomizer is communicated with the interior of the shell through the atomizing agent inlet; the perfusion machine is connected with the seat body through a pipeline; the cataplasm permeating machine is connected with the seat backrest through a pipeline; a steam nozzle is arranged on the inner wall of the shell; the bin cleaning machine is connected with the steam nozzle through a pipeline; and the water circulator is communicated with the interior of the shell through a pipeline. Metabolites, toxins, garbage and the like inside and outside human tissues and organs and cells of a system can be discharged out of the body, andhuman health is kept; meanwhile, the instruments are arranged in a centralized mode, occupied space is small, customers do not need to be transferred in the treatment process, and working efficiency is high.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN344452687&_cid=P12-LTRE0S-24981-2
AI MEDICAL FAMILY ROBOT,B25J 11/00,LUO HUILIN,LUO HUILIN,"The AI medical family robot comprises a robot body, an installation box, a supporting rod, a distribution box and idler wheels, the installation box is fixedly arranged at the bottom of the robot body, the distribution box is fixedly arranged on the surface of the bottom of the installation box, and the idler wheels are fixed to the four corners of the surface of the bottom of the distribution box. Through the arrangement of the infrared thermometer, the body temperature of a patient can be detected, through the arrangement of the electronic blood pressure measuring instrument, the blood pressure and the heart rate of the patient can be detected, the body health data of the patient can be conveniently monitored and can be conveniently known by the patient through the display of the touch display screen, and through the arrangement of the timing module, the time is saved. Timing can be conducted through the touch display screen, so that the robot body can inform a patient through the loudspeaker in a timed mode, medicine taking is conducted in a timed mode, and body health detection is conducted in a timed mode.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN344452687&_cid=P12-LTRE0S-24981-2
PORTABLE INTELLIGENT AI SERVICE AND CHRONIC DISEASE MANAGEMENT EARLY WARNING MEDICINE BOX,A61J 1/00,THE SECOND HOSPITAL OF HEBEI MEDICAL UNIVERSITY,WANG QIAN,"In order to overcome the defects in the prior art, the invention provides a portable intelligent AI service and chronic disease management early warning medicine box which comprises a wearable monitoring device, an intelligent medicine box body and a remote server side. The wearable monitoring device comprises a telescopic belt, a monitor is fixed to the telescopic belt, and the monitor is used for obtaining human body information and sending the human body information to the intelligent medicine box through a first communication module. The intelligent medicine box comprises a box bottom intelligent control end and an electric control medicine box. And a storage battery power supply module, a second communication module, an SD card memory, a processor and a loudspeaker are arranged in the box bottom intelligent control end. And the processor performs safety early warning analysis and medication management analysis according to the received signals, and sends a control instruction to the electric control medicine box, the second communication module and the loudspeaker according to an analysis result. According to the invention, when the health index of the patient reaches a dangerous value and the health index is obviously changed towards an adverse state through analysis, an alarm is correspondingly given out.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN344452687&_cid=P12-LTRE0S-24981-2
PORTABLE INTELLIGENT AI SERVICE AND CHRONIC DISEASE MANAGEMENT EARLY WARNING KIT,A61J 7/04,"HEFEI ANYAOHUI HEALTH INDUSTRY CO., LTD.",QIN JIAN,"The invention discloses a portable intelligent AI service and a chronic disease management early warning kit. The kit comprises a kit body, the middle of the kit body is provided with a reminding control device, the top of the kit body is provided with a speaker, one side of the kit body is proved with a daily medicine chamber, one side of the daily medicine chamber is provided with an emergency medicine chamber, the top of the reminding control device is provided with an MIC electretc condenser microphone, a USB interface is formed in one side of the kit body, one side of the USB interface isprovided with a protection cover, an emergency call button is arranged inside the protection cover, a reset button is arranged on one side of the protection cover, an intelligent voice AI service function can eliminate the inconvenience of the complicated set operation of an old man, a voice short message function can directly send a voice message to a mobile phone client to facilitate communication between the old man and the family at any time, and when the old man falls or is inconvenient to move, he can directly dial an emergency call by the kit through a voice or dial a contact person for help.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN344452687&_cid=P12-LTRE0S-24981-2
APPLICATION OF 5-HYDROXYTRYPTOPHAN IN PREPARATION OF HEALTH CARE PRODUCT OR MEDICINE FOR IMPROVING FEMALE PHYSIOLOGICAL CYCLE DISORDER CAUSED BY PLATEAU HYPOXIA,A61K 31/405,ENVIRONMENTAL MEDICINE AND WORKING MEDICINE RESEARCH INSTITUTE OF MILITARY SCIENCE INSTITUTE,LIU WEILI,"The invention discloses an application of 5-hydroxytryptophan in preparation of a health care product or a medicine for improving female physiological cycle disorder caused by altitude hypoxia, and experiments prove that the 5-hydroxytryptophan can obviously prolong the closed hypoxia survival time of a female organism and can obviously improve the female physiological cycle disorder caused by low-pressure hypoxia exposure.",https://patentscope.wipo.int/search/en/detail.jsf?docId=CN344452687&_cid=P12-LTRE0S-24981-2
IOT BASED HEALTH MANAGEMENT SYSTEM,G06Q /,Krishna Engineering College,Mr. Aditya Tandon,"The present invention provides an IOT based health management system. The system is a software based on hardware as a service platform which is AI enabled in which when the user login, he or she will be asked for the health details and the data is stored in our database according to it user will be provided with the list of doctors to which he can communicate. If the user wants to fix appointment with the doctor in his locality, then the list of doctors in his locality is provided to the user and then appointment can be fixed using this application. The user can also filter out the doctors according to the affordable fees and reviews. After uploading the prescription, the user can choose the medicines from the platform. The user can also download the prescription and purchase the medicine from the medical store.",https://patentscope.wipo.int/search/en/detail.jsf?docId=IN355390685&_cid=P12-LTRE0S-24981-3
AI BASED IOT CYBER PHYSICAL SYSTEM FOR PREGNANT WOMAN HEALTH MONITORING IN RURAL AREAS,B64C /,Dr. K SATHYARAJASEKARAN,Dr. K SATHYARAJASEKARAN,"In interior rural areas, monitoring and taking care of pregnant women's health is a big problem. The maternal mortality rate in India is very high compared to developed countries. Here we propose a cyber-physical system that employs robotic vehicles, drones and other semi-manual modules to monitor and medicate pregnant women. This project aims to reduce the maternal mortality rate in India by a huge margin. IoT, AI, Machine Learning, Robotics, Cloud Computing and Drone Technology are all contributing fields to this cyber physical project. This invention presents a cyber physical system in which the following activities are done by drones: pregnancy testing kit delivery and collection, urine sample collection for pregnancy test, weighing machine delivery and pickup, manual blood sample collection with delivery to the testing center and medicine delivery. The input device to the cyber physical system is the mobile application installed in the phone of the woman or her kin/friends in the same locality. A medical professional from the nearest government health center can also initiate these drone based activities mentioned above. The data from the initiator is sent to the server from which the drone activity is initiated. The drone operation team gets the initiation message from there and the drone corresponding to that activity is initiated. Upon completion of the task, the completion message is sent from the medical professional in the hospital and an authorized member of the drone operation team.",https://patentscope.wipo.int/search/en/detail.jsf?docId=IN355390685&_cid=P12-LTRE0S-24981-3
AIR DISINFECTION AND STERILIZATION AIR COOLER AND TRADITIONAL CHINESE MEDICINE DIAGNOSIS AND TREATMENT HEALTH MANAGEMENT COMBINED MACHINE,F24F 5/00,"SHANGHAI ZONGLAN INTELLIGENT TECHNOLOGY CO., LTD.",CHEN MINGCHU,"An air disinfection and sterilization air cooler and traditional Chinese medicine diagnosis and treatment health management combined machine is composed of a lower water evaporation cooling type air cooler part, an upper air disinfection and sterilization purification machine part and a traditional Chinese medicine diagnosis and treatment health management system. A cylindrical disinfection and sterilization unit is composed of three assemblies, the upper end and the lower end of each assembly are each provided with a cylindrical insulator, a discharge electrode is arranged to be connected with one end of a high-voltage electronic generator, a metal cylinder is adopted in the middle of each assembly, and a dust collection electrode loop is arranged to be connected with the other end of the high-voltage electronic generator. Furthermore, the high-voltage electron generator is a negative high-voltage electron generator, discharge electrodes arranged at the upper end and the lower end of the cylindrical insulator are arranged inwards, and the traditional Chinese medicine diagnosis and treatment health management system is composed of a multimedia display screen and a computer software algorithm system. AI remote diagnosis and treatment and health management services are realized through remote networking of the Internet of Things and a cloud server.",https://patentscope.wipo.int/search/en/detail.jsf?docId=IN355390685&_cid=P12-LTRE0S-24981-3
HOSPITAL MEDICINE PURCHASE PLAN PREDICTION METHOD AND SYSTEM BASED ON LSTM,G06Q 10/08,UNIT 32251 OF PLA,WANG JIWEI,"The invention discloses a hospital medicine purchase plan prediction system based on LSTM. The system comprises an AI server (1), a big data storage module (2), a purchase management system interaction end (3), an LSTM module (4), a medicine use acquisition interface (5) and a medicine off-shelf management module (10), wherein the AI server (1) is in data communication connection with the big data storage module (2), the purchase management system interaction end (3) and the medicine use acquisition interface (5) through a data communication network, the AI server (1) is further in data communication connection with the LSTM module (4), and the LSTM module (4) is further in data communication connection with the big data storage module (2). According to the invention, the LSTM method is adopted to process and analyze the big data, and the data abnormal points are eliminated, so that the purchasing of hospital medicines is more accurate and is not affected by the abnormal data. The abnormal data is analyzed to determine whether sudden diseases are found, so that the overall health of a city is better maintained, and sudden diseases and infectious diseases are retrieved.",https://patentscope.wipo.int/search/en/detail.jsf?docId=IN355390685&_cid=P12-LTRE0S-24981-3
INTELLIGENT MEDICAL KIT FOR HEALTH ACCOMPANYING OF EMPTY NESTERS,G08B 21/24,YU XIAOHANG,YU XIAOHANG,"The utility model relates to the technical field of medicine chests, and discloses an empty nest elderly health accompanying intelligent medicine chest, which comprises a medicine chest, an identification mechanism is arranged on the medicine chest, the identification mechanism comprises a display screen, a camera and a support rod, the display screen is connected with the camera, the display screen is connected with the support rod, and the support rod is connected with a cover. The recognition mechanism further comprises a cover, a hinge and an AI face image sensor, the cover is connected with the hinge, the hinge is connected with the medicine chest, the AI face image sensor is arranged in the display screen, the cover is connected with the medicine chest, an auxiliary mechanism is arranged in the cover and comprises an alarm, a first controller and a battery, the alarm is connected with the cover, the cover is connected with the first controller, and the battery is connected with the first controller. The cover is connected with the battery, and the cover is connected with the medicine box through the hinge by arranging the recognition mechanism, so that the aims of recognizing the old people who get the medicine, selecting which drawer to open and preventing the old people from taking wrong medicine to cause life danger are achieved.",https://patentscope.wipo.int/search/en/detail.jsf?docId=IN355390685&_cid=P12-LTRE0S-24981-3
"ARTIFICIAL INTELLIGENCE BASED AUTOMATIC SMART HEALTH CARE SYSTEM TO PREVENT AND PREDICT THE COLORECTAL CANCER AND BREAST CANCER FOR ALL AGES OF WOMEN USING DATA MINING, IMAGE PROCESSING AND MACHINE LEARNING ALGORITHMS",G06N /,Dr. Mukta Jagdish,Dr. Mukta Jagdish,"Artificial Intelligence based Automatic smart Health care system to prevent and predict the colorectal cancer and breast cancer for all ages of women using data mining, Image processing and Machine Learning Algorithms ABSTRACT: The healthcare industry is replete with algorithms that utilise artificial intelligence (AI), resulting in various positive outcomes. The use of artificial intelligence (AI) to diagnose and treat cancer, particularly colorectal cancer, is gaining prominence (CRC). Colorectal cancer (CRC) is the third most prevalent cancer in both men and women. It also kills more people than any other type of cancer worldwide. The objective of this paper is to present a thorough picture of how artificial intelligence could be employed in colorectal cancer screening, diagnosis, and therapy. We also discuss the implications of current AI system advancements for medical diagnosis and therapy. Because CRC can be avoided in the majority of cases, it is crucial that screening methods based on artificial intelligence become the norm. Due to computer-aided detection and characterisation technology, adenomas can now be detected more rapidly. In addition, the use of robotic surgery and cutting-edge computer-assisted medication delivery devices has ushered in a new era in the treatment of colorectal cancer. In the meantime, the health care industry is making substantial progress toward ""precision medicine"" or ""personalised medicine."" The application of machine learning models to cancer care could dramatically enhance patient-centered oncology.",https://patentscope.wipo.int/search/en/detail.jsf?docId=IN355390685&_cid=P12-LTRE0S-24981-3
