,title,authors,pdf_file,abstract,pub_date
10,Scientific discovery in the age of artificial intelligence,"['Hanchen Wang', 'Tianfan Fu', 'Yuanqi Du', 'Wenhao Gao', 'Kexin Huang', 'Ziming Liu', 'Payal Chandak', 'Shengchao Liu', 'Peter Van Katwyk', 'Andreea Deac', 'Anima Anandkumar', 'Karianne Bergen', 'Carla P Gomes', 'Shirley Ho', 'Pushmeet Kohli', 'Joan Lasenby', 'Jure Leskovec', 'Tie-Yan Liu', 'Arjun Manrai', 'Debora Marks', 'Bharath Ramsundar', 'Le Song', 'Jimeng Sun', 'Jian Tang', 'Petar Veličković', 'Max Welling', 'Linfeng Zhang', 'Connor W Coley', 'Yoshua Bengio', 'Marinka Zitnik']",https://doi.org/10.1038/s41586-023-06221-2,"Artificial intelligence (AI) is being increasingly integrated into scientific discovery to augment and accelerate research, helping scientists to generate hypotheses, design experiments, collect and interpret large datasets, and gain insights that might not have been possible using traditional scientific methods alone. Here we examine breakthroughs over the past decade that include self-supervised learning, which allows models to be trained on vast amounts of unlabelled data, and geometric deep learning, which leverages knowledge about the structure of scientific data to enhance model accuracy and efficiency. Generative AI methods can create designs, such as small-molecule drugs and proteins, by analysing diverse data modalities, including images and sequences. We discuss how these methods can help scientists throughout the scientific process and the central issues that remain despite such advances. Both developers and users of AI toolsneed a better understanding of when such approaches need improvement, and challenges posed by poor data quality and stewardship remain. These issues cut across scientific disciplines and require developing foundational algorithmic approaches that can contribute to scientific understanding or acquire it autonomously, making them critical areas of focus for AI innovation.",Epub 2023 Aug 2.
11,Artificial Intelligence (AI) in Drugs and Pharmaceuticals,"['Adarsh Sahu', 'Jyotika Mishra', 'Namrata Kushwaha']",https://doi.org/10.2174/1386207325666211207153943,"The advancement of computing and technology has invaded all the dimensions of science. Artificial intelligence (AI) is one core branch of Computer Science, which has percolated to all the arenas of science and technology, from core engineering to medicines. Thus, AI has found its way for application in the field of medicinal chemistry and heath care. The conventional methods of drug design have been replaced by computer-aided designs of drugs in recent times. AI is being used extensively to improve the design techniques and required time of the drugs. Additionally, the target proteins can be conveniently identified using AI, which enhances the success rate of the designed drug. The AI technology is used in each step of the drug designing procedure, which decreases the health hazards related to preclinical trials and also reduces the cost substantially. The AI is an effective tool for data mining based on the huge pharmacological data and machine learning process. Hence, AI has been used in de novo drug design, activity scoring, virtual screening and in silico evaluation in the properties (absorption, distribution, metabolism, excretion and toxicity) of a drug molecule. Various pharmaceutical companies have teamed up with AI companies for faster progress in the field of drug development, along with the healthcare system. The review covers various aspects of AI (Machine learning, Deep learning, Artificial neural networks) in drug design. It also provides a brief overview of the recent progress by the pharmaceutical companies in drug discovery by associating with different AI companies.",
12,Artificial intelligence: Implications for the future of work,['John Howard'],https://doi.org/10.1002/ajim.23037,"Artificial intelligence (AI) is a broad transdisciplinary field with roots in logic, statistics, cognitive psychology, decision theory, neuroscience, linguistics, cybernetics, and computer engineering. The modern field of AI began at a small summer workshop at Dartmouth College in 1956. Since then, AI applications made possible by machine learning (ML), an AI subdiscipline, include Internet searches, e-commerce sites, goods and services recommender systems, image and speech recognition, sensor technologies, robotic devices, and cognitive decision support systems (DSSs). As more applications are integrated into everyday life, AI is predicted to have a globally transformative influence on economic and social structures similar to the effect that other general-purpose technologies, such as steam engines, railroads, electricity, electronics, and the Internet, have had. Novel AI applications in the workplace of the future raise important issues for occupational safety and health. This commentary reviews the origins of AI, use of ML methods, and emerging AI applications embedded in physical objects like sensor technologies, robotic devices, or operationalized in intelligent DSSs. Selected implications on the future of work arising from the use of AI applications, including job displacement from automation and management of human-machine interactions, are also reviewed. Engaging in strategic foresight about AI workplace applications will shift occupational research and practice from a reactive posture to a proactive one. Understanding the possibilities and challenges of AI for the future of work will help mitigate the unfavorable effects of AI on worker safety, health, and well-being.",Epub 2019 Aug 22.
13,Artificial Intelligence and Mechanical Circulatory Support,"['Song Li', 'Gavin W Hickey', 'Matthew M Lander', 'Manreet K Kanwar']",https://doi.org/10.1016/j.hfc.2021.11.005,"Advances in machine learning algorithms and computing power have fueled a rapid increase in artificial intelligence research in health care, including mechanical circulatory support. In this review, we highlight the needs for artificial intelligence in the mechanical circulatory support field and summarize existing artificial intelligence applications in 3 areas: identifying patients appropriate for mechanical circulatory support therapy, predicting risks after mechanical circulatory support device implantation, and monitoring for adverse events. We address the challenges of incorporating artificial intelligence in daily clinical practice and recommend demonstration of artificial intelligence tools' clinical efficacy, reliability, transparency, and equity to drive implementation.",Epub 2022 Mar 4.
14,Medical ethics considerations on artificial intelligence,['Kadircan H Keskinbora'],https://doi.org/10.1016/j.jocn.2019.03.001,"Artificial intelligence (AI) is currently one of the mostly controversial matters of the world. This article discusses AI in terms of the medical ethics issues involved, both existing and potential. Once artificial intelligence is fully developed within electronic systems, it will afford many useful applications in many sectors ranging from banking, agriculture, medical procedures to military operations, especially by decreasing the involvement of humans in critically dangerous activities. Robots as well as computers themselves are embodiments of values inasmuch as they entail actions and choices, but their practical applications are modelled or programmed by the engineers building the systems. AI will need algorithmic procedures to ensure safety in the implementation of such systems. The AI algorithms written could naturally contain errors that may result in unforeseen consequences and unfair outcomes along economic and racial class lines. It is crucial that measures be taken to monitor technological developments ensuring preventative and precautionary safeguards are in place to safeguard the rights of those involved against direct or indirect coercion. While it is the responsibility of AI researchers to ensure that the future impact is more positive than negative, ethicists and philosophers need to be deeply involved in the development of such technologies from the beginning.",Epub 2019 Mar 14.
15,Artificial intelligence in cardiovascular medicine,"['Sagar Ranka', 'Madhu Reddy', 'Amit Noheria']",https://doi.org/10.1097/hco.0000000000000812,"Purpose of review: Artificial intelligence is a broad set of sophisticated computer-based statistical tools that have become widely available. Cardiovascular medicine with its large data repositories, need for operational efficiency and growing focus on precision care is set to be transformed by artificial intelligence. Applications range from new pathophysiologic discoveries to decision support for individual patient care to optimization of system-wide logistical processes.",
16,Artificial intelligence meets hematology,['Lars Kaestner'],https://doi.org/10.1016/j.transci.2020.102986,"The application of artificial intelligence (AI) in hematology it not new at all. However, it increasingly becomes part of the measurement of hematological parameters and subsequently also influences decision making. Here some examples are provided where well established parameters could be exploited better, if data are not reduced to single values but instead the entire data generation process is considered. Furthermore applications of artificial neural networks (ANN), point of care (PoC) devices and the internet of things (IoT) are discussed. Beside all the technical advancements human judgement will remain the last decision.",Epub 2020 Nov 2.
17,Artificial intelligence in medical imaging of the liver,"['Li-Qiang Zhou', 'Jia-Yu Wang', 'Song-Yuan Yu', 'Ge-Ge Wu', 'Qi Wei', 'You-Bin Deng', 'Xing-Long Wu', 'Xin-Wu Cui', 'Christoph F Dietrich']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6378542/pdf/WJG-25-672.pdf,"Artificial intelligence (AI), particularly deep learning algorithms, is gaining extensive attention for its excellent performance in image-recognition tasks. They can automatically make a quantitative assessment of complex medical image characteristics and achieve an increased accuracy for diagnosis with higher efficiency. AI is widely used and getting increasingly popular in the medical imaging of the liver, including radiology, ultrasound, and nuclear medicine. AI can assist physicians to make more accurate and reproductive imaging diagnosis and also reduce the physicians' workload. This article illustrates basic technical knowledge about AI, including traditional machine learning and deep learning algorithms, especially convolutional neural networks, and their clinical application in the medical imaging of liver diseases, such as detecting and evaluating focal liver lesions, facilitating treatment, and predicting liver treatment response. We conclude that machine-assisted medical services will be a promising solution for future liver medical care. Lastly, we discuss the challenges and future directions of clinical application of deep learning techniques.",
18,Artificial intelligence: Its role in dermatopathology,['Shishira R Jartarkar'],https://doi.org/10.25259/ijdvl_725_2021,"Artificial intelligence (AI), a major frontier in the field of medical research, can potentially lead to a paradigm shift in clinical practice. A type of artificial intelligence system known as convolutional neural network points to the possible utility of deep learning in dermatopathology. Though pathology has been traditionally restricted to microscopes and glass slides, recent advancement in digital pathological imaging has led to a transition making it a potential branch for the implementation of artificial intelligence. The current application of artificial intelligence in dermatopathology is to complement the diagnosis and requires a well-trained dermatopathologist's guidance for better designing and development of deep learning algorithms. Here we review the recent advances of artificial intelligence in dermatopathology, its applications in disease diagnosis and in research, along with its limitations and future potential.",
19,"Artificial Intelligence in Primary Health Care: Perceptions, Issues, and Challenges","['Harshana Liyanage', 'Siaw-Teng Liaw', 'Jitendra Jonnagaddala', 'Richard Schreiber', 'Craig Kuziemsky', 'Amanda L Terry', 'Simon de Lusignan']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6697547/pdf/10-1055-s-0039-1677901.pdf,"Background: Artificial intelligence (AI) is heralded as an approach that might augment or substitute for the limited processing power of the human brain of primary health care (PHC) professionals. However, there are concerns that AI-mediated decisions may be hard to validate and challenge, or may result in rogue decisions.",Epub 2019 Apr 25.
20,Artificial intelligence in oral and maxillofacial radiology: what is currently possible?,"['Min-Suk Heo', 'Jo-Eun Kim', 'Jae-Joon Hwang', 'Sang-Sun Han', 'Jin-Soo Kim', 'Won-Jin Yi', 'In-Woo Park']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7923066/pdf/dmfr.20200375.pdf,"Artificial intelligence, which has been actively applied in a broad range of industries in recent years, is an active area of interest for many researchers. Dentistry is no exception to this trend, and the applications of artificial intelligence are particularly promising in the field of oral and maxillofacial (OMF) radiology. Recent researches on artificial intelligence in OMF radiology have mainly used convolutional neural networks, which can perform image classification, detection, segmentation, registration, generation, and refinement. Artificial intelligence systems in this field have been developed for the purposes of radiographic diagnosis, image analysis, forensic dentistry, and image quality improvement. Tremendous amounts of data are needed to achieve good results, and involvement of OMF radiologist is essential for making accurate and consistent data sets, which is a time-consuming task. In order to widely use artificial intelligence in actual clinical practice in the future, there are lots of problems to be solved, such as building up a huge amount of fine-labeled open data set, understanding of the judgment criteria of artificial intelligence, and DICOM hacking threats using artificial intelligence. If solutions to these problems are presented with the development of artificial intelligence, artificial intelligence will develop further in the future and is expected to play an important role in the development of automatic diagnosis systems, the establishment of treatment plans, and the fabrication of treatment tools. OMF radiologists, as professionals who thoroughly understand the characteristics of radiographic images, will play a very important role in the development of artificial intelligence applications in this field.",Epub 2020 Nov 16.
21,Artificial Intelligence in Nuclear Cardiology,['Robert J H Miller'],https://doi.org/10.1016/j.ccl.2023.01.004,"Artificial intelligence (AI) encompasses a variety of computer algorithms that have a wide range of potential clinical applications in nuclear cardiology. This article will introduce core terminology and concepts for AI including classifications of AI as well as training and testing regimens. We will then highlight the potential role for AI to improve image registration and image quality. Next, we will discuss methods for AI-driven image attenuation correction. Finally, we will review advancements in machine learning and deep-learning applications for disease diagnosis and risk stratification, including efforts to improve clinical translation of this valuable technology with explainable AI models.",Epub 2023 Feb 20.
22,"Artificial Intelligence for Education, Proctoring, and Credentialing in Cardiovascular Medicine",['Zvonimir Krajcer'],https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9053661/pdf/i1526-6702-49-2-e217572.pdf,"Artificial intelligence and machine learning are rapidly gaining popularity in every aspect of cardiovascular medicine. This review discusses the past, present, and future of artificial intelligence in education, remote proctoring, credentialing, research, and publication as they pertain to cardiovascular procedures. This review describes the benefits and limitations of artificial intelligence and machine learning and the exciting potential of integrating advanced simulation, holography, virtual reality, and extended reality into disease diagnosis and patient care, as well as their roles in cardiovascular research and education. Nonetheless, much of the available data resides in electronic medical records or within industry-sponsored proprietary programs that are not compatible or standardized for current clinical application. Many areas in cardiovascular medicine would benefit from the introduction or increased use of artificial intelligence. Web-based artificial intelligence applications could be used to address unmet needs for education, on-demand procedural proctoring, credentialing, and recredentialing for interventionists and physicians in remote locations. Further progress in artificial intelligence will require further collaboration among computer scientists and researchers in order to identify and correct the most relevant problems and to implement the best data-based approach to achieving this goal. The future success of artificial intelligence in cardiovascular medicine will depend on the degree of collaboration between all pertinent experts in this field. This will undoubtedly be a prolonged, stepwise process.",
23,Artificial intelligence in spine care: current applications and future utility,"['Alexander L Hornung', 'Christopher M Hornung', 'G Michael Mallow', 'J Nicolás Barajas', 'Augustus Rush 3rd', 'Arash J Sayari', 'Fabio Galbusera', 'Hans-Joachim Wilke', 'Matthew Colman', 'Frank M Phillips', 'Howard S An', 'Dino Samartzis']",https://doi.org/10.1007/s00586-022-07176-0,"Purpose: The field of artificial intelligence is ever growing and the applications of machine learning in spine care are continuously advancing. Given the advent of the intelligence-based spine care model, understanding the evolution of computation as it applies to diagnosis, treatment, and adverse event prediction is of great importance. Therefore, the current review sought to synthesize findings from the literature at the interface of artificial intelligence and spine research.",Epub 2022 Mar 27.
24,Artificial intelligence and deep learning for small bowel capsule endoscopy,"['Roberto Trasolini', 'Michael F Byrne']",https://doi.org/10.1111/den.13896,"Capsule endoscopy is ideally suited to artificial intelligence-based interpretation given its reliance on pattern recognition in still images. Time saving viewing modes and lesion detection features currently available rely on machine learning algorithms, a form of artificial intelligence. Current software necessitates close human supervision given poor sensitivity relative to an expert reader. However, with the advent of deep learning, artificial intelligence is becoming increasingly reliable and will be increasingly relied upon. We review the major advances in artificial intelligence for capsule endoscopy in recent publications and briefly review artificial intelligence development for historical understanding. Importantly, recent advancements in artificial intelligence have not yet been incorporated into practice and it is immature to judge the potential of this technology based on current platforms. Remaining regulatory and standardization hurdles are being overcome and artificial intelligence-based clinical applications are likely to proliferate rapidly.",Epub 2020 Dec 27.
25,Artificial intelligence in cancer diagnostics and therapy: current perspectives,"['Anusree Majumder', 'Debraj Sen']",https://doi.org/10.4103/ijc.ijc_399_20,"Artificial intelligence (AI) has found its way into every sphere of human life including the field of medicine. Detection of cancer might be AI's most altruistic and convoluted challenge to date in the field of medicine. Embedding AI into various aspects of cancer diagnostics would be of immense use in dealing with the tedious, repetitive, time-consuming job of lesion detection, remove opportunities for human error, and cut costs and time. This would be of great value in cancer screening programs. By using AI algorithms, data from digital images from radiology and pathology that are imperceptible to the human eye can be identified (radiomics and pathomics). Correlating radiomics and pathomics with clinico-demographic-therapy-morbidity-mortality profiles will lead to a greater understanding of cancers. Specific imaging phenotypes have been found to be associated with specific gene-determined molecular pathways involved in cancer pathogenesis (radiogenomics). All these developments would not only help to personalize oncologic practice but also lead to the development of new imaging biomarkers. AI algorithms in oncoimaging and oncopathology will broadly have the following uses: cancer screening (detection of lesions), characterization and grading of tumors, and clinical decision-making and prognostication. However, AI cannot be a foolproof panacea nor can it supplant the role of humans. It can however be a powerful and useful complement to human insights and deeper understanding. Multiple issues like standardization, validity, ethics, privacy, finances, legal liability, training, accreditation, etc., need to be overcome before the vast potential of AI in diagnostic oncology can be fully harnessed.",
26,Artificial Intelligence in Pediatric Nephrology-A Call for Action,"['Guido Filler', 'Debbie S Gipson', 'Didier Iyamuremye', 'Maria Esther Díaz González de Ferris']",https://doi.org/10.1053/j.akdh.2022.11.001,"Artificial intelligence is playing an increasingly important role in many fields of clinical care to assist health care providers in patient management. In adult-focused nephrology, artificial intelligence is beginning to be used to improve clinical care, hemodialysis prescriptions, and follow-up of transplant recipients. This article provides an overview of medical artificial intelligence applications relevant to pediatric nephrology. We describe the core concepts of artificial intelligence and machine learning and cover the basics of neural networks and deep learning. We also discuss some examples for clinical applications of artificial intelligence in pediatric nephrology, including neonatal kidney function, early recognition of acute kidney injury, renally cleared drug dosing, intrapatient variability, urinary tract infection workup in infancy, and longitudinal disease progression. Furthermore, we consider the future of artificial intelligence in clinical pediatric nephrology and its potential impact on medical practice and address the ethical issues artificial intelligence raises in terms of clinical decision-making, health care provider-patient relationship, patient privacy, and data collection. This article also represents a call for action involving those of us striving to provide optimal services for children, adolescents, and young adults with chronic conditions.",Epub 2022 Dec 13.
27,Artificial Intelligence for Clinical Flow Cytometry,"['Robert P Seifert', 'David A Gorlin', 'Andrew A Borkowski']",https://doi.org/10.1016/j.cll.2023.04.009,"In this review, the authors discuss the fundamental principles of machine learning. They explore recent studies and approaches in implementing machine learning into flow cytometry workflows. These applications are promising but not without their shortcomings. Explainability may be the biggest barrier to adoption, as they contain ""black boxes"" in which a complex network of mathematical processes learns features of data that are not translatable into real language. The authors discuss the current limitations of machine learning models and the possibility that, without a multiinstitutional development process, these applications could have poor generalizability. They also discuss widespread deployment of augmented decision-making.",Epub 2023 May 29.
28,Artificial intelligence 101 for veterinary diagnostic imaging,"['Adrien-Maxence Hespel', 'Youshan Zhang', 'Parminder S Basran']",https://doi.org/10.1111/vru.13160,"The prevalence and pervasiveness of artificial intelligence (AI) with medical images in veterinary and human medicine is rapidly increasing. This article provides essential definitions of AI with medical images with a focus on veterinary radiology. Machine learning methods common in medical image analysis are compared, and a detailed description of convolutional neural networks commonly used in deep learning classification and regression models is provided. A brief introduction to natural language processing (NLP) and its utility in machine learning is also provided. NLP can economize the creation of ""truth-data"" needed when training AI systems for both diagnostic radiology and radiation oncology applications. The goal of this publication is to provide veterinarians, veterinary radiologists, and radiation oncologists the necessary background needed to understand and comprehend AI-focused research projects and publications.",
29,Artificial Intelligence (AI) and Retinal Optical Coherence Tomography (OCT),"['Mohammad Dahrouj', 'John B Miller']",https://doi.org/10.1080/08820538.2021.1901123,"Ophthalmology has been at the forefront of medical specialties adopting artificial intelligence. This is primarily due to the ""image-centric"" nature of the field. Thanks to the abundance of patients' OCT scans, analysis of OCT imaging has greatly benefited from artificial intelligence to expand patient screening and facilitate clinical decision-making.In this review, we define the concepts of artificial intelligence, machine learning, and deep learning and how different artificial intelligence algorithms have been applied in OCT image analysis for disease screening, diagnosis, management, and prognosis.Finally, we address some of the challenges and limitations that might affect the incorporation of artificial intelligence in ophthalmology. These limitations mainly revolve around the quality and accuracy of datasets used in the algorithms and their generalizability, false negatives, and the cultural challenges around the adoption of the technology.",Epub 2021 Mar 18.
30,"Artificial intelligence, machine learning and deep learning in musculoskeletal imaging: Current applications","[""Tommaso D'Angelo"", 'Danilo Caudo', 'Alfredo Blandino', 'Moritz H Albrecht', 'Thomas J Vogl', 'Leon D Gruenewald', 'Michele Gaeta', 'Ibrahim Yel', 'Vitali Koch', 'Simon S Martin', 'Lukas Lenga', 'Giuseppe Muscogiuri', 'Sandro Sironi', 'Silvio Mazziotti', 'Christian Booz']",https://doi.org/10.1002/jcu.23321,"Artificial intelligence is rapidly expanding in all technological fields. The medical field, and especially diagnostic imaging, has been showing the highest developmental potential. Artificial intelligence aims at human intelligence simulation through the management of complex problems. This review describes the technical background of artificial intelligence, machine learning, and deep learning. The first section illustrates the general potential of artificial intelligence applications in the context of request management, data acquisition, image reconstruction, archiving, and communication systems. In the second section, the prospective of dedicated tools for segmentation, lesion detection, automatic diagnosis, and classification of musculoskeletal disorders is discussed.",Epub 2022 Sep 7.
